ind,Spectra,SNR,Resolution,Star,Star_SC,teff,err_teff,logg,err_logg,vmic,err_vmic,MH,err_MH,vsini,err_up_vsini,err_down_vsini
0,HD19994A_HARPSS_115000_378_691_2020.fits,2021.85,115000,HD19994A,HD 19994 A,6249,27,4.26,0.04,1.57,0.03,0.27,0.02,8.6,1.72,-1.72
1,HD60532_HARPSS_115000_378_691_2020.fits,1940.86,115000,HD60532,HD 60532,6281,34,4,0.04,1.8,0.04,-0.07,0.02,8,1.6,-1.6
2,HR858_HARPSS_115000_378_691_2020.fits,1772.89,115000,HR858,HR 858,6360,26,4.5,0.04,1.51,0.04,-0.02,0.02,8.3,0.5,-0.5
3,HD10647_HARPSS_115000_378_691_2020.fits,1696.77,115000,HD10647,HD 10647,6178,20,4.49,0.03,1.26,0.03,-0.01,0.01,4.9,0.98,-0.98
4,HD208487_HARPSS_115000_378_691_2020.fits,1461.86,115000,HD208487,HD 208487,6137,18,4.46,0.03,1.21,0.03,0.09,0.01,4.61,0.922,-0.922
5,38Vir_HARPS_2017.fits,1172.68,115000,38Vir,38 Vir,6440,51,4.42,0.22,1.44,0.288,0.16,0.05,20,4,-4
6,HD103774A_HARPSS_115000_378_691_2020.fits,1073.86,115000,HD103774A,HD 103774 A,6586,35,4.48,0.03,1.72,0.04,0.31,0.02,8.1,1.62,-1.62
7,HD50499_HARPSS_115000_378_691_2020.fits,963.39,115000,HD50499,HD 50499,6066,23,4.27,0.06,1.31,0.03,0.33,0.02,4.313,0.8626,-0.8626
8,HD205739_HARPSS_115000_378_691_2020.fits,843.32,115000,HD205739,HD 205739,6273,22,4.37,0.03,1.42,0.03,0.19,0.02,4.48,0.5,-0.5
9,WASP-166_HARPSS_115000_378_691_2020.fits,842.2,115000,WASP-166,WASP-166,6142,22,4.45,0.04,1.25,0.03,0.25,0.02,5.1,0.3,-0.3
10,HD11231_HARPSS_115000_378_691_2020.fits,817.49,115000,HD11231,HD 11231,6643,35,4.32,0.04,1.96,0.04,0.19,0.02,5.1,1,-1
11,HD147873_HARPSS_115000_378_691_2020.fits,717.86,115000,HD147873,HD 147873,6180,27,4.06,0.04,1.65,0.03,0.26,0.02,5.9,0.5,-0.5
12,KELT-6_HARPSN_2020.fits,547.86,115000,KELT-6,KELT-6,6325,26,4.3,0.03,1.65,0.04,-0.23,0.02,4.53,0.906,-0.906
13,K2-100_HARPSN_2020.fits,513.7,115000,K2-100,K2-100,6377,65,4.81,0.08,2.05,0.086,0.32,0.05,14,2,-2
14,GJ3021_HARPSS_115000_378_691_2020.fits,412.41,115000,GJ3021,GJ 3021,5563,33,4.48,0.06,1.24,0.05,0.13,0.02,5.5,1,-1
15,WASP-20_HARPSS_115000_378_691_2020.fits,306.33,115000,WASP-20,WASP-20 A,6032,16,4.43,0.03,1.24,0.02,0.09,0.01,4.75,0.51,-0.51
16,K2-290_HARPSS_115000_378_691_2020.fits,289.78,115000,K2-290,K2-290,6385,23,4.44,0.03,1.58,0.03,0.04,0.02,6.5,1,-1
17,WASP-84_HARPSN_2020.fits,264.51,115000,WASP-84,WASP-84,5232,41,4.3,0.08,1.03,0.06,0.05,0.03,4.1,0.3,-0.3
18,WASP-174_HARPSS_115000_378_691_2020.fits,184.87,115000,WASP-174,WASP-174,6755,68,4.83,0.08,2.09,0.09,0.3,0.04,16.24,0.53,-0.53
19,WASP-31_HARPSS_115000_378_691_2020.fits,159.29,115000,WASP-31,WASP-31,6380,36,4.59,0.04,1.58,0.05,-0.08,0.03,7.9,0.6,-0.6
20,WASP-190_HARPSS_115000_378_691_2020.fits,152.29,115000,WASP-190,WASP-190,6730,55,4.52,0.07,2.07,0.09,0.15,0.04,13.3,0.6,-0.6
21,HD286123_HARPSN_2020.fits,151.53,115000,HD286123,K2-232,5961,18,4.33,0.03,1.19,0.02,0.07,0.01,4.16,0.282,-0.282
22,TOI-130_SINGLEHR11_ESPRESSO_2020.fits,3034.21,140000,TOI-130,HD 5278,6203,64,4.5,0.11,1.31,0.03,-0.12,0.04,4.1,0.5,-0.5
23,HD70573_FEROS_48000_352_921_2020.fits,5012.7,48000,HD70573,HD 70573,5904,46,4.48,0.07,1.72,0.07,0,0.04,14.7,1,-1
24,HD196885A_SOPHIE_HR_2020.fits,1646.51,75000,HD196885A,HD 196885 A,6312,26,4.43,0.04,1.42,0.03,0.25,0.02,7.8,0.5,-0.5
25,DSTucA_FEROS_48000_352_921_2020.fits,1619.81,48000,DSTucA,DS Tuc A,5909,102,4.83,0.15,2.52,0.19,0.01,0.07,17.8,0.2,-0.2
26,HD13908_ESPADONS_65000_2020.fits,1330.41,65000,HD13908,HD 13908,6241,24,4.16,0.04,1.52,0.03,0,0.02,4.2,0.5,-0.5
27,HATS-3_FEROS_48000_352_921_2020.fits,890.97,48000,HATS-3,HATS-3,6347,70,4.52,0.08,1.41,0.1,-0.02,0.05,9.12,1.31,-1.31
28,HD66141_UVES_42310_472_683_2020.fits,762.3,42310,HD66141,HD 66141,4357,67,1.99,0.17,1.53,0.06,-0.33,0.03,4.7,0.94,-0.94
29,TOI-677_FEROS_48000_352_921_2020.fits,688.41,48000,TOI-677,TOI-677,6300,53,4.52,0.05,1.35,0.06,0.14,0.04,7.8,0.19,-0.19
30,HD143105_SOPHIE_HR_2020.fits,598.47,75000,HD143105,HD 143105,6381,37,4.41,0.05,1.53,0.05,0.17,0.03,9.1,1,-1
31,WASP-136_UVES_107200_472_683_2020.fits,523.35,107200,WASP-136,WASP-136,6770,60,4.57,0.05,2.21,0.09,0.18,0.04,13.1,0.8,-0.8
32,HD63433_SOPHIE_HR_2020.fits,494.63,75000,HD63433,HD 63433,5671,26,4.49,0.06,1.11,0.04,0,0.02,7.28,0.29,-0.29
33,Kepler-65_ESPADONS_65000_2020.fits,467.93,65000,Kepler-65,Kepler-65,6374,37,4.41,0.05,1.54,0.04,0.23,0.03,10.4,0.6,-0.6
34,CoRoT-25_UVES_51690_472_683_2020.fits,462.03,51690,CoRoT-25,CoRoT-25,6104,29,4.3,0.05,1.21,0.04,0.16,0.02,4.3,0.5,-0.5
35,HD87646A_UVES_107200_472_683_2020.fits,453.05,107200,HD87646A,HD 87646 A,5949,38,4.28,0.05,1.43,0.04,0.28,0.03,7.5,1.5,-1.5
36,KELT-4A_UVES_107200_472_683_2020.fits,415.48,107200,KELT-4A,KELT-4 A,6478,34,4.34,0.04,1.67,0.05,0,0.02,6,1.2,-1.2
37,HD12484_SOPHIE_HR_2020.fits,402.85,75000,HD12484,HD 12484,5915,30,4.54,0.05,1.19,0.04,0.09,0.02,8.2,1,-1
38,WASP-103_FIES_2017.fits,347.81,67000,WASP-103,WASP-103,6188,75,4.48,0.14,1.69,0.09,0.29,0.06,10.6,0.9,-0.9
39,WASP-138_UVES_107200_472_683_2020.fits,307.61,107200,WASP-138,WASP-138,6277,38,4.36,0.04,1.36,0.05,0,0.03,7.7,1.1,-1.1
40,WASP-120_UVES_107200_472_683_2020.fits,296.11,107200,WASP-120,WASP-120,6774,119,4.62,0.12,2.68,0.24,0.15,0.07,15.1,1.2,-1.2
41,HD133131B_UVES_74450_472_683_2020.fits,289.92,74450,HD133131B,HD 133131 B,5751,26,4.37,0.04,0.9,0.04,-0.28,0.02,7,1.4,-1.4
42,HD106315_UVES_107200_472_683_2020.fits,289.91,107200,HD106315,HD 106315,6591,87,4.75,0.1,1.97,0.14,-0.06,0.05,12.71,0.4,-0.4
43,Kepler-21_NARVAL_2014.fits,266.82,65000,Kepler-21,Kepler-21,6323,43,4.21,0.05,1.45,0.06,0.05,0.03,8.4,0.5,-0.5
44,HD115954_SOPHIE_2017.fits,266.6,75000,HD115954,HD 115954,5957,26,4.15,0.04,1.15,0.03,0.34,0.02,5.3,1,-1
45,HD27969_SOPHIE_2017.fits,265.59,75000,HD27969,HD 27969,5966,21,4.12,0.04,1.17,0.02,0.18,0.02,4.1,1,-1
46,WASP-118_UVES_107200_472_683_2020.fits,253.51,107200,WASP-118,WASP-118,6662,68,4.38,0.05,1.76,0.08,0.29,0.05,9.68,1.14,-1.14
47,HAT-P-50_UVES_107200_472_683_2020.fits,253.15,107200,HAT-P-50,HAT-P-50,6377,47,4.3,0.06,1.5,0.06,-0.05,0.03,8.9,0.5,-0.5
48,HATS-10_FEROS_48000_352_921_2020.fits,249.97,48000,HATS-10,HATS-10,6167,82,4.51,0.11,1.45,0.09,0.4,0.06,5.68,0.7,-0.7
49,HD93963A_SOPHIE_2021.fits,211.01,75000,HD93963A,HD 93963 A,5987,64,4.49,0.11,1.15,0.03,0.1,0.04,5.9,0.8,-0.8
50,HATS-68_FEROS_48000_352_921_2020.fits,209.13,48000,HATS-68,HATS-68,6276,91,4.33,0.11,1.91,0.11,0.24,0.07,7.42,0.29,-0.29
51,HAT-P-34_FEROS_2014.fits,205.5,48000,HAT-P-34,HAT-P-34,6509,51,4.24,0.22,1,0.2,0.08,0.05,24,0.5,-0.5
52,WASP-114_FEROS_48000_352_921_2020.fits,197.17,48000,WASP-114,WASP-114,6110,76,4.44,0.11,1.36,0.07,0.51,0.06,6.4,0.7,-0.7
53,XO-7_SOPHIE_HR_2020.fits,193.81,75000,XO-7,XO-7,6109,39,4.3,0.06,1.22,0.04,0.4,0.03,6,1,-1
54,KELT-16_UVES_107200_472_683_2020.fits,193.65,107200,KELT-16,KELT-16,6514,54,4.45,0.05,1.46,0.06,0.09,0.04,7.6,0.5,-0.5
55,HAT-P-45_UVES_107200_472_683_2020.fits,189.19,107200,HAT-P-45,HAT-P-45,6531,55,4.65,0.05,1.6,0.09,0.14,0.04,9.3,0.5,-0.5
56,CoRoT-6_UVES_2017.fits,183.77,107200,CoRoT-6,CoRoT-6,6265,40,4.6,0.05,1.31,0.06,0.01,0.03,7.6,1,-1
57,WASP-75_UVES_107200_472_683_2020.fits,183.48,107200,WASP-75,WASP-75,6102,27,4.37,0.05,1.21,0.04,0.24,0.02,4.3,0.8,-0.8
58,WASP-87A_UVES_107200_472_683_2020.fits,183.28,107200,WASP-87A,WASP-87 A,6529,89,4.51,0.05,2.1,0.2,-0.28,0.06,9.9,0.6,-0.6
59,CoRoT-4_UVES_56990_472_683_2020.fits,178.66,56990,CoRoT-4,CoRoT-4,6238,37,4.55,0.06,1.23,0.05,0.18,0.03,6.4,1,-1
60,WASP-90_UVES_107200_472_683_2020.fits,154.93,107200,WASP-90,WASP-90,6381,43,4.31,0.06,1.49,0.05,0.19,0.03,6,0.5,-0.5
61,WASP-153_SOPHIE_HE_2020.fits,150.37,40000,WASP-153,WASP-153,5968,50,4.28,0.07,1.16,0.06,0.33,0.04,5.19,0.95,-0.95
62,CoRoT-11_HARPS_2014.fits,148.52,115000,CoRoT-11,CoRoT-11,6343,72,4.27,0.3,1,0.2,0.04,0.03,40,5,-5
63,CoRoT-19_HARPS.fits,55.43,115000,CoRoT-19,CoRoT-19,6317,55,4.38,0.08,1.61,0.07,0.17,0.04,6,1,-1
64,CoRoT-1_UVES_107200_472_683_2020.fits,111.39,107200,CoRoT-1,CoRoT-1,6344,74,4.46,0.09,1.24,0.1,0.12,0.05,5.2,1,-1
65,CoRoT-2_HARPSS_115000_378_691_2020.fits,77.18,115000,CoRoT-2,CoRoT-2,5676,44,4.71,0.07,1.77,0.08,0.01,0.03,10.87,0.32,-0.32
66,CoRoT-3_HARPS_2014.fits,104.05,115000,CoRoT-3,CoRoT-3,6558,44,4.25,0.15,1,0.2,0.14,0.04,17,1,-1
67,HAT-P-39_UVES_107200_472_683_2020.fits,130.18,107200,HAT-P-39,HAT-P-39,6721,98,4.79,0.16,2.04,0.15,0.22,0.06,12.7,0.5,-0.5
68,HAT-P-46_HARPSN_2020.fits,131.57,115000,HAT-P-46,HAT-P-46,6344,27,4.43,0.04,1.47,0.03,0.36,0.02,4.9,0.5,-0.5
69,HAT-P-66_SOPHIE_HE_2020.fits,98.46,40000,HAT-P-66,HAT-P-66,6250,43,4.29,0.07,1.2,0.05,0.15,0.03,7.57,0.5,-0.5
70,HATS-27_HARPSS_115000_378_691_2020.fits,29.01,115000,HATS-27,HATS-27,6650,69,4.46,0.07,1.87,0.09,0.3,0.05,9.32,0.5,-0.5
71,HATS-56_HARPSS_115000_378_691_2020.fits,34.8,115000,HATS-56,HATS-56,6594,63,3.98,0.06,1.75,0.07,0.25,0.04,6.49,0.19,-0.19
72,HATS-58A_HARPSS_115000_378_691_2020.fits,71.99,115000,HATS-58A,HATS-58A,6564,41,4.35,0.04,1.65,0.05,0.13,0.03,6.22,0.29,-0.29
73,HATS-66_UVES_56990_472_683_2020.fits,100.29,56990,HATS-66,HATS-66,7000,652,4.8,0.11,3.53,1.01,0.08,0.36,12.86,0.17,-0.17
74,HD1666_HARPSS_115000_378_691_2020.fits,131.26,115000,HD1666,HD 1666,6508,30,4.29,0.03,1.77,0.03,0.39,0.02,5.6,0.5,-0.5
75,Kepler-39_SOPHIE_HE_2020.fits,64.62,40000,Kepler-39,Kepler-39,6556,85,4.78,0.12,1.55,0.12,0.06,0.06,16,2.5,-2.5
76,Kepler-40_SOPHIE_HE_2020.fits,0.27,40000,Kepler-40,Kepler-40,6296,104,4.48,0.18,1.04,0.15,0.01,0.07,9,2,-2
77,Kepler-410A_NARVAL_2014.fits,96.76,65000,Kepler-410A,Kepler-410 A,6440,73,4.57,0.09,1.87,0.1,0.11,0.05,12.9,0.6,-0.6
78,Kepler-41_SOPHIE_HE_2020.fits,21.06,40000,Kepler-41,Kepler-41,5766,118,4.32,0.18,0.47,0.24,0.21,0.09,6,2,-2
79,Kepler-420A_HARPSN_2016.fits,52.24,115000,Kepler-420A,KOI-1257,5528,54,4.1,0.11,1.01,0.07,0.22,0.04,4.6,0.2,-0.2
80,Kepler-435_SOPHIE_HE_2020.fits,0.42,40000,Kepler-435,Kepler-435,6388,45,4.23,0.07,1.47,0.06,0.06,0.03,6,1,-1
81,Kepler-539_SOPHIE_HE_2020.fits,76.71,40000,Kepler-539,Kepler-539,5841,44,4.52,0.06,0.81,0.08,-0.02,0.03,4.4,0.5,-0.5
82,Kepler-74_SOPHIE_HE_2020.fits,40.59,40000,Kepler-74,Kepler-74,6056,62,4.41,0.07,1.23,0.07,0.34,0.05,5,1,-1
83,Kepler-89_SOPHIE_HE_2020.fits,114.55,40000,Kepler-89,Kepler-89,6306,46,4.44,0.04,1.33,0.06,0.1,0.03,7.3,0.5,-0.5
84,Kepler-90_SOPHIE_HE_2020.fits,49.85,40000,Kepler-90,KOI-351,6142,65,4.47,0.07,0.94,0.08,0.15,0.05,4.6,2.1,-2.1
85,KPS-1_SOPHIE_HE_2020.fits,0.23,40000,KPS-1,KPS-1,4963,222,4.17,0.49,0.24,1.26,0.22,0.14,5.1,1,-1
86,Pr0211_HARPSN_2020.fits,117.76,115000,Pr0211,Pr 0211,5250,38,4.37,0.08,1.27,0.06,0.16,0.02,5.1,0.3,-0.3
87,TOI1298_rv.fits,42.6,75000,TOI1298,TOI-1298,5889,43,4.39,0.08,1.17,0.05,0.49,0.03,4.6,0.05,-0.05
88,TOI-813_HARPSS_115000_378_691_2020.fits,71.51,115000,TOI-813,TOI-813,6187,34,4.26,0.04,1.62,0.04,0.22,0.03,8.2,0.9,-0.9
89,WASP-113_SOPHIE_HE_2020.fits,111.45,40000,WASP-113,WASP-113,6049,39,4.26,0.06,1.21,0.04,0.26,0.03,6.8,0.7,-0.7
90,WASP-135_SOPHIE_HE_2020.fits,82.53,40000,WASP-135,WASP-135,5052,77,4.11,0.22,0.85,0.14,0.17,0.05,4.67,0.89,-0.89
91,WASP-139_HARPSS_115000_378_691_2020.fits,56.31,115000,WASP-139,WASP-139,5215,38,4.35,0.08,0.82,0.07,0.12,0.03,4.2,1.1,-1.1
92,WASP-150_SOPHIE_HE_2020.fits,127.76,40000,WASP-150,WASP-150,6486,48,4.46,0.09,1.61,0.06,0.27,0.03,8.82,0.95,-0.95
93,WASP-173A_HARPSS_115000_378_691_2020.fits,110.24,115000,WASP-173A,KELT-22A,5803,26,4.45,0.04,1.29,0.03,0.21,0.02,6.1,0.3,-0.3
94,WASP-92_SOPHIE_HE_2020.fits,38.19,40000,WASP-92,WASP-92,6039,67,4.21,0.08,0.95,0.09,0.1,0.05,5.73,1.15,-1.15
